outcome,previous_outcome,day,time,month,wind_speed,weather,location,capacity,stadium_state,injury,match_type,opponent_strength
loss,loss,saturday,morning,september,no_wind,sunny,home,medium,dry,no,friendly,average
win,win,sunday,morning,march,low,cloudy,away,small,dry,no,competitive,weak
win,loss,monday,evening,october,high,rainy,away,medium,wet,no,friendly,average
tie,tie,wednesday,evening,september,low,sunny,home,medium,dry,no,competitive,strong
win,tie,thursday,evening,march,low,cloudy,home,medium,dry,yes,friendly,weak
tie,tie,saturday,evening,december,no_wind,sunny,away,elite,wet,no,friendly,strong
loss,loss,wednesday,evening,january,high,cloudy,home,medium,dry,no,competitive,average
win,tie,friday,evening,december,low,snowy,home,medium,dry,no,friendly,weak
tie,tie,wednesday,evening,november,no_wind,sunny,home,medium,dry,yes,friendly,average
loss,win,monday,evening,april,high,cloudy,away,small,dry,yes,friendly,weak
win,win,monday,evening,june,high,rainy,away,medium,wet,yes,friendly,weak
win,win,saturday,afternoon,october,no_wind,cloudy,home,medium,dry,no,friendly,weak
loss,loss,monday,evening,march,low,sunny,away,medium,dry,no,friendly,average
tie,tie,monday,evening,august,high,rainy,home,medium,dry,yes,competitive,strong
loss,loss,tuesday,evening,may,high,cloudy,away,elite,wet,yes,friendly,strong
win,tie,monday,evening,may,no_wind,sunny,away,large,dry,yes,friendly,average
tie,win,thursday,evening,december,high,sunny,home,medium,dry,no,competitive,average
win,win,sunday,afternoon,august,high,rainy,home,medium,dry,no,friendly,average
win,tie,friday,evening,february,high,cloudy,away,medium,wet,no,friendly,average
tie,tie,wednesday,evening,october,high,rainy,home,medium,dry,yes,competitive,strong
win,tie,saturday,evening,april,high,sunny,away,large,dry,yes,competitive,weak
win,win,wednesday,evening,march,low,rainy,home,medium,dry,no,competitive,weak
win,win,saturday,evening,march,no_wind,sunny,home,medium,dry,no,competitive,weak
tie,tie,tuesday,evening,january,high,snowy,home,medium,dry,yes,competitive,strong
tie,tie,saturday,afternoon,may,high,rainy,away,medium,wet,yes,friendly,strong
win,loss,saturday,morning,march,no_wind,sunny,away,large,wet,no,competitive,average
win,win,saturday,afternoon,may,low,sunny,home,medium,dry,yes,friendly,weak
win,win,sunday,afternoon,september,high,sunny,home,medium,dry,no,friendly,weak
win,tie,monday,evening,june,no_wind,sunny,away,large,wet,no,friendly,weak
tie,win,monday,evening,december,high,snowy,away,large,wet,yes,friendly,strong
win,win,sunday,morning,march,low,sunny,away,elite,dry,no,competitive,average
win,win,monday,evening,august,no_wind,cloudy,home,medium,dry,yes,competitive,weak
tie,tie,wednesday,evening,may,high,cloudy,home,medium,dry,yes,friendly,strong
win,win,friday,evening,july,no_wind,cloudy,home,medium,dry,yes,friendly,weak
win,win,wednesday,evening,december,high,rainy,away,elite,wet,yes,friendly,weak
tie,tie,saturday,afternoon,may,low,sunny,away,large,dry,yes,friendly,strong
win,win,wednesday,evening,december,high,sunny,home,medium,dry,yes,friendly,weak
tie,tie,sunday,morning,april,low,rainy,home,medium,dry,no,friendly,strong
tie,tie,friday,evening,november,no_wind,cloudy,away,small,wet,yes,competitive,average
loss,win,wednesday,evening,february,no_wind,cloudy,home,medium,dry,no,friendly,weak
tie,loss,tuesday,evening,may,high,sunny,away,large,wet,yes,friendly,strong
win,loss,saturday,morning,august,high,sunny,home,medium,dry,yes,competitive,average
tie,tie,thursday,evening,july,high,cloudy,away,small,dry,no,friendly,strong
tie,win,monday,evening,march,low,sunny,away,small,dry,no,friendly,weak
win,tie,friday,evening,july,no_wind,sunny,away,medium,dry,no,competitive,average
tie,tie,wednesday,evening,june,no_wind,sunny,away,large,dry,yes,friendly,strong
tie,tie,tuesday,evening,february,low,snowy,home,medium,dry,yes,friendly,strong
tie,tie,thursday,evening,april,high,rainy,home,medium,dry,no,friendly,strong
win,win,monday,evening,january,low,cloudy,home,medium,dry,no,competitive,weak
win,win,sunday,evening,october,high,cloudy,home,medium,dry,yes,friendly,weak
tie,tie,saturday,afternoon,april,high,sunny,away,small,dry,yes,competitive,strong
tie,tie,monday,evening,september,no_wind,sunny,away,small,dry,yes,competitive,strong
loss,loss,tuesday,evening,june,high,sunny,home,medium,dry,no,friendly,average
win,win,friday,evening,march,no_wind,cloudy,away,small,dry,yes,competitive,weak
win,tie,saturday,afternoon,november,low,cloudy,away,medium,dry,yes,friendly,average
tie,tie,thursday,evening,june,low,sunny,home,medium,dry,yes,competitive,strong
win,win,tuesday,evening,october,no_wind,sunny,home,medium,dry,no,friendly,weak
tie,tie,monday,evening,may,low,sunny,away,medium,wet,no,friendly,strong
tie,tie,wednesday,evening,september,low,sunny,home,medium,dry,yes,competitive,strong
win,win,saturday,afternoon,march,no_wind,sunny,home,medium,dry,yes,competitive,weak
win,loss,saturday,evening,march,low,cloudy,away,elite,dry,yes,competitive,average
win,win,wednesday,evening,may,low,sunny,away,small,dry,no,competitive,weak
win,loss,tuesday,evening,november,no_wind,cloudy,away,large,dry,yes,friendly,average
win,loss,saturday,morning,august,high,sunny,away,elite,dry,no,friendly,average
win,tie,sunday,evening,july,high,rainy,home,medium,dry,yes,friendly,weak
tie,win,wednesday,evening,february,low,snowy,away,elite,wet,no,friendly,strong
win,loss,friday,evening,february,no_wind,sunny,away,small,dry,yes,competitive,weak
win,win,monday,evening,december,high,snowy,home,medium,dry,yes,competitive,weak
tie,tie,thursday,evening,june,low,cloudy,away,elite,dry,no,friendly,strong
win,tie,saturday,afternoon,may,no_wind,cloudy,home,medium,dry,no,friendly,strong
tie,loss,tuesday,evening,may,high,sunny,away,elite,dry,no,friendly,average
win,win,sunday,evening,april,high,rainy,away,small,wet,yes,competitive,weak
tie,tie,friday,evening,august,low,cloudy,away,medium,dry,yes,competitive,strong
tie,tie,thursday,evening,june,no_wind,cloudy,home,medium,dry,yes,friendly,strong
tie,tie,monday,evening,november,high,snowy,away,large,wet,no,friendly,weak
win,win,wednesday,evening,may,high,cloudy,home,medium,dry,yes,friendly,weak
tie,win,thursday,evening,august,no_wind,cloudy,home,medium,dry,yes,friendly,weak
win,loss,friday,evening,september,no_wind,rainy,home,medium,dry,no,competitive,weak
win,win,sunday,evening,may,high,sunny,away,elite,dry,yes,friendly,weak
tie,tie,sunday,evening,july,no_wind,cloudy,away,large,dry,yes,friendly,average
tie,tie,saturday,evening,march,no_wind,rainy,away,large,wet,no,competitive,strong
loss,win,wednesday,evening,february,no_wind,cloudy,away,small,dry,no,friendly,strong
tie,tie,monday,evening,august,low,sunny,home,medium,dry,no,friendly,strong
loss,tie,friday,evening,july,low,sunny,away,large,dry,no,competitive,average
tie,tie,sunday,afternoon,may,no_wind,cloudy,home,medium,dry,no,friendly,strong
loss,tie,tuesday,evening,august,no_wind,cloudy,home,medium,dry,no,friendly,strong
tie,tie,sunday,afternoon,september,low,cloudy,home,medium,dry,no,competitive,strong
tie,tie,wednesday,evening,april,high,rainy,away,elite,wet,no,friendly,strong
win,loss,sunday,afternoon,december,high,snowy,away,large,wet,no,friendly,weak
tie,win,saturday,evening,april,no_wind,cloudy,away,medium,dry,yes,competitive,strong
tie,tie,friday,evening,october,high,rainy,home,medium,dry,no,competitive,strong
tie,tie,thursday,evening,october,high,sunny,home,medium,dry,no,friendly,average
tie,win,thursday,evening,april,low,sunny,away,large,wet,yes,friendly,strong
win,loss,monday,evening,april,high,sunny,away,large,dry,no,friendly,weak
tie,tie,sunday,afternoon,november,high,cloudy,home,medium,dry,yes,competitive,average
tie,tie,wednesday,evening,november,high,cloudy,home,medium,dry,yes,friendly,strong
tie,loss,saturday,evening,june,high,sunny,away,large,dry,yes,competitive,average
tie,tie,sunday,morning,february,no_wind,sunny,away,small,dry,yes,friendly,strong
tie,win,friday,evening,september,high,cloudy,away,elite,dry,no,competitive,average
loss,win,friday,evening,february,high,sunny,home,medium,dry,no,friendly,average
tie,loss,friday,evening,may,high,sunny,home,medium,dry,yes,competitive,strong
tie,tie,thursday,evening,july,no_wind,cloudy,away,small,dry,yes,friendly,strong
tie,win,wednesday,evening,november,no_wind,rainy,home,medium,dry,no,friendly,strong
win,tie,saturday,afternoon,april,no_wind,sunny,home,medium,dry,no,competitive,average
win,loss,sunday,afternoon,september,high,cloudy,away,medium,dry,yes,competitive,weak
win,loss,sunday,morning,january,low,cloudy,home,medium,dry,no,competitive,average
win,tie,monday,evening,october,no_wind,rainy,home,medium,dry,yes,competitive,average
tie,tie,sunday,afternoon,december,high,cloudy,away,large,dry,yes,friendly,strong
tie,tie,friday,evening,october,low,cloudy,home,medium,dry,yes,competitive,strong
tie,tie,monday,evening,june,no_wind,sunny,away,elite,dry,no,competitive,strong
tie,loss,sunday,afternoon,march,high,sunny,away,medium,dry,no,friendly,average
win,win,friday,evening,august,high,sunny,home,medium,dry,no,competitive,weak
win,win,friday,evening,july,low,cloudy,away,large,dry,yes,friendly,weak
tie,loss,saturday,afternoon,january,no_wind,sunny,home,medium,dry,no,competitive,strong
tie,win,tuesday,evening,june,low,sunny,away,small,dry,no,friendly,strong
loss,tie,wednesday,evening,october,no_wind,rainy,home,medium,dry,no,competitive,strong
tie,tie,saturday,afternoon,july,high,cloudy,away,small,dry,yes,friendly,strong
win,tie,sunday,morning,september,high,rainy,away,small,wet,yes,friendly,weak
tie,win,thursday,evening,december,no_wind,sunny,away,medium,dry,no,friendly,strong
loss,loss,thursday,evening,june,no_wind,sunny,away,medium,dry,no,friendly,average
tie,tie,wednesday,evening,january,low,cloudy,away,small,dry,yes,competitive,strong
tie,loss,wednesday,evening,september,high,cloudy,away,medium,dry,yes,friendly,average
tie,tie,tuesday,evening,november,high,snowy,home,medium,dry,yes,friendly,strong
tie,loss,wednesday,evening,february,low,cloudy,away,small,dry,yes,competitive,strong
win,win,monday,evening,december,low,snowy,away,elite,wet,yes,friendly,weak
tie,win,friday,evening,january,no_wind,sunny,away,large,dry,no,competitive,weak
win,win,monday,evening,july,no_wind,cloudy,home,medium,dry,yes,friendly,weak
tie,tie,friday,evening,january,high,cloudy,home,medium,dry,no,friendly,strong
win,win,tuesday,evening,october,high,cloudy,home,medium,dry,no,friendly,weak
tie,tie,sunday,afternoon,april,high,sunny,away,small,dry,yes,friendly,average
win,win,thursday,evening,june,low,sunny,home,medium,dry,yes,competitive,average
tie,tie,friday,evening,february,high,sunny,away,large,dry,no,competitive,weak
tie,win,wednesday,evening,june,low,sunny,home,medium,dry,yes,competitive,strong
win,win,sunday,evening,june,high,rainy,away,large,wet,no,competitive,weak
win,win,sunday,afternoon,february,no_wind,cloudy,home,medium,dry,no,friendly,weak
win,win,sunday,afternoon,april,low,sunny,home,medium,dry,yes,friendly,weak
win,win,wednesday,evening,october,no_wind,cloudy,home,medium,dry,yes,competitive,weak
tie,tie,saturday,afternoon,october,low,cloudy,away,large,dry,yes,friendly,strong
tie,tie,saturday,morning,june,no_wind,rainy,away,elite,wet,yes,competitive,strong
win,tie,saturday,morning,october,high,cloudy,home,medium,dry,yes,competitive,weak
win,win,tuesday,evening,january,high,sunny,home,medium,dry,no,competitive,weak
tie,tie,wednesday,evening,january,high,snowy,away,large,wet,yes,competitive,average
tie,loss,tuesday,evening,december,no_wind,sunny,home,medium,dry,no,friendly,strong
tie,tie,sunday,afternoon,january,high,rainy,home,medium,dry,no,competitive,strong
tie,loss,tuesday,evening,august,no_wind,rainy,home,medium,dry,yes,friendly,weak
tie,loss,sunday,afternoon,october,high,sunny,away,elite,dry,no,competitive,average
win,loss,friday,evening,february,no_wind,cloudy,away,small,dry,no,competitive,average
win,win,monday,evening,september,no_wind,sunny,away,elite,dry,no,competitive,weak
win,win,friday,evening,march,low,cloudy,away,large,wet,no,friendly,weak
win,tie,thursday,evening,february,low,sunny,away,small,dry,no,friendly,average
tie,tie,sunday,morning,december,low,sunny,away,large,dry,yes,friendly,strong
tie,tie,friday,evening,december,no_wind,sunny,away,medium,dry,yes,friendly,average
win,win,sunday,evening,november,no_wind,sunny,away,small,dry,no,competitive,average
win,win,friday,evening,august,low,rainy,home,medium,dry,yes,competitive,average
tie,tie,friday,evening,september,high,rainy,away,small,wet,no,friendly,weak
win,loss,friday,evening,september,no_wind,rainy,away,elite,wet,yes,friendly,weak
win,win,friday,evening,may,no_wind,cloudy,away,large,wet,yes,competitive,weak
loss,win,friday,evening,november,low,snowy,away,elite,wet,no,friendly,weak
win,win,friday,evening,june,no_wind,cloudy,away,large,dry,no,friendly,weak
tie,tie,sunday,afternoon,march,no_wind,sunny,away,small,dry,yes,competitive,strong
tie,tie,tuesday,evening,june,low,sunny,home,medium,dry,no,competitive,strong
tie,loss,monday,evening,january,high,sunny,home,medium,dry,yes,friendly,average
tie,tie,sunday,morning,july,no_wind,sunny,home,medium,dry,no,competitive,average
win,win,tuesday,evening,august,no_wind,sunny,away,large,dry,no,friendly,weak
loss,loss,friday,evening,august,low,cloudy,home,medium,dry,yes,competitive,average
tie,loss,friday,evening,october,low,rainy,away,large,wet,no,friendly,strong
